"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25482","TC16 - Place Order: Login Before Checkout @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:53 GMT+07:00 2025","TC16 - Place Order: Login Before Checkout","automation-exercise/individual-tests/tc16-place-order-login-before-checkout.spec.ts","",""
"Verify user can add multiple products to cart","16513","TC12 - Add Products in Cart @regression","chromium","Tue Aug 12 17:18:25 GMT+07:00 2025","failed","Tue Aug 12 17:18:41 GMT+07:00 2025","TC12 - Add Products in Cart","automation-exercise/individual-tests/tc12-add-products-cart.spec.ts","",""
"Verify user can subscribe to newsletter from home page","16874","TC10 - Verify Subscription in Home Page @regression","chromium","Tue Aug 12 17:18:21 GMT+07:00 2025","failed","Tue Aug 12 17:18:38 GMT+07:00 2025","TC10 - Verify Subscription in Home Page","automation-exercise/individual-tests/tc10-verify-subscription-home.spec.ts","",""
"","8","TC01 - Register User @smoke","authenticated-chrome","Tue Aug 12 17:12:41 GMT+07:00 2025","failed","Tue Aug 12 17:12:41 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"","22647","TC17 - Remove Products From Cart @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:51 GMT+07:00 2025","TC17 - Remove Products From Cart","automation-exercise/individual-tests/tc17-remove-products-cart.spec.ts","",""
"","31643","TC20 - Search Products and Verify Cart After Login @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","broken","Tue Aug 12 17:21:00 GMT+07:00 2025","TC20 - Search Products and Verify Cart After Login","automation-exercise/individual-tests/tc20-search-products-verify-cart-after-login.spec.ts","",""
"Verify user can successfully register with valid details","29891","TC01 - Register User @smoke","firefox","Tue Aug 12 17:11:42 GMT+07:00 2025","passed","Tue Aug 12 17:12:11 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"Verify product quantity is correctly displayed in cart when custom quantity is set","16082","TC13 - Verify Product Quantity in Cart @regression","chromium","Tue Aug 12 17:18:25 GMT+07:00 2025","failed","Tue Aug 12 17:18:41 GMT+07:00 2025","TC13 - Verify Product Quantity in Cart","automation-exercise/individual-tests/tc13-verify-product-quantity-cart.spec.ts","",""
"","22333","TC01 - Register User @smoke","mobile-safari","Tue Aug 12 17:12:11 GMT+07:00 2025","failed","Tue Aug 12 17:12:33 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","16254","TC11 - Verify Subscription in Cart Page @regression","chromium","Tue Aug 12 17:18:23 GMT+07:00 2025","passed","Tue Aug 12 17:18:40 GMT+07:00 2025","TC11 - Verify Subscription in Cart Page","automation-exercise/individual-tests/tc11-verify-subscription-cart.spec.ts","",""
"","16187","TC14 - Place Order: Register While Checkout @regression","chromium","Tue Aug 12 17:18:26 GMT+07:00 2025","failed","Tue Aug 12 17:18:42 GMT+07:00 2025","TC14 - Place Order: Register While Checkout","automation-exercise/individual-tests/tc14-place-order-register-while-checkout.spec.ts","",""
"Verify error message is displayed when user tries to register with existing email","13480","TC05 - Register User with Existing Email @regression","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:20 GMT+07:00 2025","TC05 - Register User with Existing Email","automation-exercise/individual-tests/tc05-register-existing-email.spec.ts","",""
"","34286","TC23 - Verify Address Details in Checkout Page @regression","chromium","Tue Aug 12 17:20:45 GMT+07:00 2025","broken","Tue Aug 12 17:21:19 GMT+07:00 2025","TC23 - Verify Address Details in Checkout Page","automation-exercise/individual-tests/tc23-verify-address-details-checkout.spec.ts","",""
"Verify user can successfully register with valid details","33213","TC01 - Register User @smoke","mobile-chrome","Tue Aug 12 17:11:42 GMT+07:00 2025","broken","Tue Aug 12 17:12:15 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"Verify user can navigate to test cases page successfully","13030","TC07 - Verify Test Cases Page @smoke","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:20 GMT+07:00 2025","TC07 - Verify Test Cases Page","automation-exercise/individual-tests/tc07-verify-test-cases-page.spec.ts","",""
"Verify user can successfully logout from the application","18179","TC04 - Logout User @smoke","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:25 GMT+07:00 2025","TC04 - Logout User","automation-exercise/individual-tests/tc04-logout-user.spec.ts","",""
"","24821","TC01 - Register User @smoke","chromium","Tue Aug 12 17:11:42 GMT+07:00 2025","passed","Tue Aug 12 17:12:06 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","11310","TC26 - Verify Scroll Up Without Arrow Button @regression","chromium","Tue Aug 12 17:20:49 GMT+07:00 2025","passed","Tue Aug 12 17:21:00 GMT+07:00 2025","TC26 - Verify Scroll Up Without Arrow Button","automation-exercise/individual-tests/tc26-verify-scroll-up-without-arrow-button.spec.ts","",""
"","11346","TC25 - Verify Scroll Up Using Arrow Button @regression","chromium","Tue Aug 12 17:20:49 GMT+07:00 2025","passed","Tue Aug 12 17:21:00 GMT+07:00 2025","TC25 - Verify Scroll Up Using Arrow Button","automation-exercise/individual-tests/tc25-verify-scroll-up-arrow-button.spec.ts","",""
"Verify user can submit contact us form successfully","30919","TC06 - Contact Us Form @regression","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","broken","Tue Aug 12 17:18:37 GMT+07:00 2025","TC06 - Contact Us Form","automation-exercise/individual-tests/tc06-contact-us-form.spec.ts","",""
"","19285","TC18 - View Category Products @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:47 GMT+07:00 2025","TC18 - View Category Products","automation-exercise/individual-tests/tc18-view-category-products.spec.ts","",""
"","31817","TC01 - Register User @smoke","firefox","Tue Aug 12 17:11:42 GMT+07:00 2025","broken","Tue Aug 12 17:12:13 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","8","TC01 - Register User @smoke","authenticated-chrome","Tue Aug 12 17:12:41 GMT+07:00 2025","failed","Tue Aug 12 17:12:41 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","16048","TC15 - Place Order: Register Before Checkout @regression","chromium","Tue Aug 12 17:18:40 GMT+07:00 2025","failed","Tue Aug 12 17:18:56 GMT+07:00 2025","TC15 - Place Order: Register Before Checkout","automation-exercise/individual-tests/tc15-place-order-register-before-checkout.spec.ts","",""
"","19131","TC21 - Add Review on Product @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:47 GMT+07:00 2025","TC21 - Add Review on Product","automation-exercise/individual-tests/tc21-add-review-product.spec.ts","",""
"Verify user can search for products and see relevant results","22900","TC09 - Search Product @regression","chromium","Tue Aug 12 17:18:21 GMT+07:00 2025","failed","Tue Aug 12 17:18:44 GMT+07:00 2025","TC09 - Search Product","automation-exercise/individual-tests/tc09-search-product.spec.ts","",""
"","19081","TC19 - View & Cart Brand Products @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:47 GMT+07:00 2025","TC19 - View & Cart Brand Products","automation-exercise/individual-tests/tc19-view-cart-brand-products.spec.ts","",""
"Verify user can successfully register with valid details","29735","TC01 - Register User @smoke","webkit","Tue Aug 12 17:11:42 GMT+07:00 2025","failed","Tue Aug 12 17:12:11 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"","24121","TC01 - Register User @smoke","tablet","Tue Aug 12 17:12:14 GMT+07:00 2025","passed","Tue Aug 12 17:12:38 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","15254","TC22 - Add to Cart from Recommended Items @regression","chromium","Tue Aug 12 17:20:28 GMT+07:00 2025","passed","Tue Aug 12 17:20:43 GMT+07:00 2025","TC22 - Add to Cart from Recommended Items","automation-exercise/individual-tests/tc22-add-cart-recommended-items.spec.ts","",""
"Verify user can successfully register with valid details","27129","TC01 - Register User @smoke","chromium","Tue Aug 12 17:11:42 GMT+07:00 2025","passed","Tue Aug 12 17:12:09 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"","33474","TC01 - Register User @smoke","webkit","Tue Aug 12 17:11:42 GMT+07:00 2025","passed","Tue Aug 12 17:12:15 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","7363","TC07 - Verify Test Cases Page @smoke","chromium","Tue Aug 12 17:13:51 GMT+07:00 2025","passed","Tue Aug 12 17:13:59 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"","33547","TC01 - Register User @smoke","mobile-chrome","Tue Aug 12 17:11:42 GMT+07:00 2025","broken","Tue Aug 12 17:12:15 GMT+07:00 2025","Automation Exercise Test Cases","automation-exercise/automation-exercise.spec.ts","",""
"Verify all products page and product detail page display correct information","16543","TC08 - Verify All Products and Product Detail Page @smoke","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:23 GMT+07:00 2025","TC08 - Verify All Products and Product Detail Page","automation-exercise/individual-tests/tc08-verify-products-and-detail.spec.ts","",""
"","23035","TC24 - Download Invoice After Purchase Order @regression","chromium","Tue Aug 12 17:20:49 GMT+07:00 2025","passed","Tue Aug 12 17:21:12 GMT+07:00 2025","TC24 - Download Invoice After Purchase Order","automation-exercise/individual-tests/tc24-download-invoice-after-purchase.spec.ts","",""
"Verify error message is displayed when user tries to login with incorrect credentials","16907","TC03 - Login User with Incorrect Email and Password @regression","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:23 GMT+07:00 2025","TC03 - Login User with Incorrect Email and Password","automation-exercise/individual-tests/tc03-login-user-incorrect.spec.ts","",""
"Verify user can successfully register with valid details","22079","TC01 - Register User @smoke","mobile-safari","Tue Aug 12 17:12:12 GMT+07:00 2025","failed","Tue Aug 12 17:12:34 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"Verify user can successfully register with valid details","14871","TC01 - Register User @smoke","tablet","Tue Aug 12 17:12:18 GMT+07:00 2025","passed","Tue Aug 12 17:12:33 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
"Verify user can login with correct email and password","15515","TC02 - Login User with Correct Email and Password @smoke","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","passed","Tue Aug 12 17:18:22 GMT+07:00 2025","TC02 - Login User with Correct Email and Password","automation-exercise/individual-tests/tc02-login-user-correct.spec.ts","",""
"Verify user can successfully register with valid details","36582","TC01 - Register User @smoke","chromium","Tue Aug 12 17:18:07 GMT+07:00 2025","broken","Tue Aug 12 17:18:43 GMT+07:00 2025","TC01 - Register User","automation-exercise/individual-tests/tc01-register-user.spec.ts","",""
